,title,price,year,link,model,age
0,2014 school bus,3200,2014.0,https://albany.craigslist.org/rvs/d/cobleskill-2014-school-bus/7821373119.html,missing,11.0
1,2008 forest river cherokee park model,14200,2008.0,https://charlotte.craigslist.org/rvs/d/indian-trail-2008-forest-river-cherokee/7821371094.html,cherokee,17.0
2,2019 hideout keystone 30' length,15900,2019.0,https://columbus.craigslist.org/rvd/d/circleville-2019-hideout-keystone-30/7821358957.html,keystone,6.0
3,2022 olympia highland  19' length,11900,2022.0,https://columbus.craigslist.org/rvd/d/circleville-2022-olympia-highland-19/7821358861.html,missing,3.0
4,2022 fsx wildwood 178bhsk,12900,2022.0,https://columbus.craigslist.org/rvd/d/circleville-2022-fsx-wildwood-178bhsk/7821358790.html,missing,3.0
5,2018 keystone springdale,9500,2018.0,https://columbus.craigslist.org/rvd/d/circleville-2018-keystone-springdale/7821358676.html,keystone,7.0
6,2013 winnebago sightseer 33c & jeep grand cherokee,106000,2013.0,https://reading.craigslist.org/rvs/d/reading-2013-winnebago-sightseer-33c/7821356406.html,winnebago,12.0
7,2007 dynamax e-series isata touring sedan ie 280  - excellent conditio,62500,2007.0,https://raleigh.craigslist.org/rvs/d/chapel-hill-2007-dynamax-series-isata/7821348794.html,dynamax,18.0
8,privately owned 2013 itasca reyo 25t,47986,2013.0,https://oneonta.craigslist.org/rvd/d/cherry-valley-privately-owned-2013/7821336526.html,missing,12.0
9,2022 winnebago minnie 2301 bhs,25000,2022.0,https://fayetteville.craigslist.org/rvs/d/rockingham-2022-winnebago-minnie-2301/7821324891.html,winnebago,3.0
10,rubber roof replacement & water damage repair,1,,https://raleigh.craigslist.org/rvd/d/goldsboro-rubber-roof-replacement-water/7821321502.html,missing,
11,2022 winnebago minnie 2301bhs,25000,2022.0,https://greensboro.craigslist.org/rvs/d/rockingham-2022-winnebago-minnie-2301bhs/7821320574.html,winnebago,3.0
12,rubber roof replacement & rot & water damage repair,0,,https://eastnc.craigslist.org/rvd/d/goldsboro-rubber-roof-replacement-rot/7821319149.html,missing,
13,winnebago minnie 2301bhs,25000,,https://raleigh.craigslist.org/rvs/d/rockingham-winnebago-minnie-2301bhs/7821318529.html,winnebago,
14,well-appointed 2007 zephyr diesel rv,65169,2007.0,https://charlotte.craigslist.org/rvd/d/charlotte-well-appointed-2007-zephyr/7821301961.html,zephyr,18.0
15,best prices. off road / overland campers. in stock. starting @,7500,,https://charlotte.craigslist.org/rvd/d/huntersville-best-prices-off-road/7821294110.html,missing,
16,cozy and spacious 2007 zephyr rv,65149,2007.0,https://washingtondc.craigslist.org/doc/rvd/d/washington-cozy-and-spacious-2007/7821280447.html,zephyr,18.0
